Designator,Mid X,Mid Y,Rotation,Layer
BT1,48.529383,-123.564732,90.0,top
C1,73.991883,-36.254494,270.0,bottom
C2,47.481883,-66.914494,0.0,top
C3,47.481883,-65.754494,0.0,top
C45,59.301884,-57.804493,180.0,bottom
C46,61.021883,-59.574494,90.0,bottom
C48,67.421884,-57.454496,180.0,bottom
J1,45.681883,-62.374494,270.0,bottom
J2,49.541883,-62.384494,270.0,bottom
Q1,58.581884,-59.604493,0.0,bottom
Q2,67.341884,-59.604494,0.0,bottom
R10,70.621884,-57.686994,90.0,bottom
R6,55.501884,-59.554494,90.0,bottom
R8,65.221884,-59.622004,90.0,bottom
R9,69.621884,-57.704493,270.0,bottom
S1,65.241883,-126.844494,0.0,top
S10,102.241883,-121.844494,0.0,top
S11,102.241883,-103.344494,0.0,top
S12,102.241883,-84.844494,0.0,top
S13,102.241883,-66.344494,0.0,top
S14,102.241883,-47.844494,0.0,top
S15,120.741883,-116.844494,0.0,top
S16,120.741883,-98.344494,0.0,top
S17,120.741883,-79.844494,0.0,top
S18,120.741883,-61.344494,0.0,top
S19,120.741883,-42.844494,0.0,top
S2,65.241883,-108.344494,0.0,top
S20,139.241883,-121.844494,0.0,top
S21,139.241883,-103.344494,0.0,top
S22,139.241883,-84.844494,0.0,top
S23,139.241883,-66.344494,0.0,top
S24,139.241883,-47.844494,0.0,top
S25,157.741883,-126.844494,0.0,top
S26,157.741883,-108.344494,0.0,top
S27,157.741883,-89.844494,0.0,top
S28,157.741883,-71.344494,0.0,top
S29,157.741884,-52.844499,0.0,top
S3,65.241883,-89.844494,0.0,top
S30,164.679382,-149.344496,330.0,top
S31,180.700852,-158.594496,330.0,top
S4,65.241883,-71.344494,0.0,top
S5,83.741883,-126.844494,0.0,top
S6,83.741883,-108.344494,0.0,top
S7,83.741883,-89.844494,0.0,top
S8,83.741883,-71.344494,0.0,top
S9,83.741883,-52.844494,0.0,top
U6,61.981883,-42.344494,0.0,top
